,title,year,length,director
53,The Green Mile,1999,3h 9m,Frank Darabont
54,Star Wars: Episode IV - A New Hope,1977,2h 1m,George Lucas
55,Star Wars: Episode IV - A New Hope,1977,2h 1m,George Lucas
56,Terminator 2: Judgment Day,1991,2h 17m,James Cameron
57,Terminator 2: Judgment Day,1991,2h 17m,James Cameron
58,Back to the Future,1985,1h 56m,Robert Zemeckis
59,Back to the Future,1985,1h 56m,Robert Zemeckis
60,Spirited Away,2001,2h 5m,Hayao Miyazaki
61,Spirited Away,2001,2h 5m,Hayao Miyazaki
62,The Pianist,2002,2h 30m,Roman Polanski
63,The Pianist,2002,2h 30m,Roman Polanski
64,Psycho,1960,1h 49m,Alfred Hitchcock
65,Psycho,1960,1h 49m,Alfred Hitchcock
66,Parasite,2019,2h 12m,Bong Joon Ho
67,Parasite,2019,2h 12m,Bong Joon Ho
68,Léon: The Professional,1994,1h 50m,Luc Besson
69,Léon: The Professional,1994,1h 50m,Luc Besson
70,The Lion King,1994,1h 28m,Roger Allers
71,The Lion King,1994,1h 28m,Roger Allers
72,Gladiator,2000,2h 35m,Ridley Scott
73,Gladiator,2000,2h 35m,Ridley Scott
74,American History X,1998,1h 59m,Tony Kaye
75,American History X,1998,1h 59m,Tony Kaye
76,The Departed,2006,2h 31m,Martin Scorsese
77,The Departed,2006,2h 31m,Martin Scorsese
78,The Prestige,2006,2h 10m,Christopher Nolan
79,The Prestige,2006,2h 10m,Christopher Nolan
80,The Usual Suspects,1995,1h 46m,Bryan Singer
81,The Usual Suspects,1995,1h 46m,Bryan Singer
82,Whiplash,2014,1h 46m,Damien Chazelle
83,Whiplash,2014,1h 46m,Damien Chazelle
84,Casablanca,1942,1h 42m,Michael Curtiz
85,Casablanca,1942,1h 42m,Michael Curtiz
86,Grave of the Fireflies,1988,1h 29m,Isao Takahata
87,Grave of the Fireflies,1988,1h 29m,Isao Takahata
88,Harakiri,1962,2h 13m,Masaki Kobayashi
89,Harakiri,1962,2h 13m,Masaki Kobayashi
90,The Intouchables,2011,1h 52m,Olivier Nakache
91,The Intouchables,2011,1h 52m,Olivier Nakache
92,Modern Times,1936,1h 27m,Charles Chaplin
93,Modern Times,1936,1h 27m,Charles Chaplin
94,Once Upon a Time in the West,1968,2h 45m,Sergio Leone
95,Once Upon a Time in the West,1968,2h 45m,Sergio Leone
96,Cinema Paradiso,1988,2h 35m,Giuseppe Tornatore
97,Cinema Paradiso,1988,2h 35m,Giuseppe Tornatore
98,Rear Window,1954,1h 52m,Alfred Hitchcock
99,Rear Window,1954,1h 52m,Alfred Hitchcock
100,Alien,1979,1h 57m,Ridley Scott
101,Alien,1979,1h 57m,Ridley Scott
102,City Lights,1931,1h 27m,Charles Chaplin
103,City Lights,1931,1h 27m,Charles Chaplin
104,Apocalypse Now,1979,2h 27m,Francis Ford Coppola
105,Apocalypse Now,1979,2h 27m,Francis Ford Coppola
106,Memento,2000,1h 53m,Christopher Nolan
107,Memento,2000,1h 53m,Christopher Nolan
108,Django Unchained,2012,2h 45m,Quentin Tarantino
109,Django Unchained,2012,2h 45m,Quentin Tarantino
110,Raiders of the Lost Ark,1981,1h 55m,Steven Spielberg
111,Raiders of the Lost Ark,1981,1h 55m,Steven Spielberg
112,WALL·E,2008,1h 38m,Andrew Stanton
113,WALL·E,2008,1h 38m,Andrew Stanton
114,The Lives of Others,2006,2h 17m,Florian Henckel von Donnersmarck
115,The Lives of Others,2006,2h 17m,Florian Henckel von Donnersmarck
116,Sunset Blvd.,1950,1h 50m,Billy Wilder
117,Sunset Blvd.,1950,1h 50m,Billy Wilder
118,Paths of Glory,1957,1h 28m,Stanley Kubrick
119,Paths of Glory,1957,1h 28m,Stanley Kubrick
120,The Shining,1980,2h 26m,Stanley Kubrick
121,The Shining,1980,2h 26m,Stanley Kubrick
122,The Great Dictator,1940,2h 5m,Charles Chaplin
123,The Great Dictator,1940,2h 5m,Charles Chaplin
124,Avengers: Infinity War,2018,2h 29m,Anthony Russo
125,Avengers: Infinity War,2018,2h 29m,Anthony Russo
126,Witness for the Prosecution,1957,1h 56m,Billy Wilder
127,Witness for the Prosecution,1957,1h 56m,Billy Wilder
128,Aliens,1986,2h 17m,James Cameron
129,Aliens,1986,2h 17m,James Cameron
130,Spider-Man: Into the Spider-Verse,2018,1h 57m,Bob Persichetti
131,Spider-Man: Into the Spider-Verse,2018,1h 57m,Bob Persichetti
132,American Beauty,1999,2h 2m,Sam Mendes
133,American Beauty,1999,2h 2m,Sam Mendes
134,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,Stanley Kubrick
135,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,Stanley Kubrick
136,The Dark Knight Rises,2012,2h 44m,Christopher Nolan
137,The Dark Knight Rises,2012,2h 44m,Christopher Nolan
138,Oldboy,2003,2h,Park Chan-wook
139,Oldboy,2003,2h,Park Chan-wook
140,Inglourious Basterds,2009,2h 33m,Quentin Tarantino
141,Inglourious Basterds,2009,2h 33m,Quentin Tarantino
142,Amadeus,1984,2h 40m,Milos Forman
143,Amadeus,1984,2h 40m,Milos Forman
144,Coco,2017,1h 45m,Lee Unkrich
145,Coco,2017,1h 45m,Lee Unkrich
146,Toy Story,1995,1h 21m,John Lasseter
147,Toy Story,1995,1h 21m,John Lasseter
148,Joker,2019,2h 2m,Todd Phillips
149,Joker,2019,2h 2m,Todd Phillips
150,Braveheart,1995,2h 58m,Mel Gibson
151,Braveheart,1995,2h 58m,Mel Gibson
152,Das Boot,1981,Wolfgang Petersen,Wolfgang Petersen
153,Das Boot,1981,Wolfgang Petersen,Wolfgang Petersen
154,Avengers: Endgame,2019,3h 1m,Anthony Russo
155,Avengers: Endgame,2019,3h 1m,Anthony Russo
156,Princess Mononoke,1997,2h 14m,Hayao Miyazaki
157,Princess Mononoke,1997,2h 14m,Hayao Miyazaki
158,Once Upon a Time in America,1984,3h 49m,Sergio Leone
159,Once Upon a Time in America,1984,3h 49m,Sergio Leone
160,Good Will Hunting,1997,2h 6m,Gus Van Sant
161,Good Will Hunting,1997,2h 6m,Gus Van Sant
162,Your Name.,2016,1h 46m,Makoto Shinkai
163,Your Name.,2016,1h 46m,Makoto Shinkai
164,Singin' in the Rain,1952,1h 43m,Stanley Donen
165,Singin' in the Rain,1952,1h 43m,Stanley Donen
166,3 Idiots,2009,2h 50m,Rajkumar Hirani
